Probe_ID	Gene_symbol	Ensembl_ID	Cytoband	Genomic_location_hg18	chromosome_name_hg18	start_position_hg18	end_position_hg18	Synonyms_0	Gene.Chosen	Genomic_location_hg19	chromosome_name_hg19	start_position_hg19	end_position_hg19	Genomic_location_hg38	chromosome_name_hg38	start_position_hg38	end_position_hg38	strand	Alias	gencode_seqnames_hg19	gencode_seqnames_hg38	gencode_start_hg19	gencode_start_hg38	gencode_end_hg19	gencode_end_hg38	Cytoband_hg19	Cytoband_hg38	Source
ILMN_1666597	PI4KB	ENSG00000143393	1q21.2d	chr1:149531313:149531362:-	1	149531313	149531362	PIK4CB; pi4K92; PI4KIIIbeta; PI4Kbeta; PI4K-BETA	YES	chr1:151264689:151264738:-	1	151264689	151264738	1:151292213:151292262:-	1	151292213	151292262	-	NA	chr1	chr1	151264273	151291797	151300191	151327715	1q21	1q21	iC10
ILMN_1737862	PSMB4	ENSG00000159377	1q21.3a	chr1:149640358:149640407:+	1	149640358	149640407	HsN3; PROS26; HN3	YES	chr1:151373734:151373783:+	1	151373734	151373783	1:151401258:151401307:+	1	151401258	151401307	+	NA	chr1	chr1	151372010	151399534	151374420	151401944	1q21	1q21	iC10
ILMN_1652929	POGZ	ENSG00000143442	1q21.3a	chr1:149666938:149666987:-	1	149666938	149666987	ZNF280E; ZNF635m; SUHW5; MGC71543; KIAA0461; ZNF635	YES	chr1:151400314:151400363:-	1	151400314	151400363	1:151427838:151427887:-	1	151427838	151427887	-	NA	chr1	chr1	151375200	151402724	151431941	151459465	1q21	1q21	iC10
ILMN_1781374	TUFT1	ENSG00000143367	1q21.3a	chr1:149822460:149822509:+	1	149822460	149822509		YES	chr1:151555836:151555885:+	1	151555836	151555885	1:151583360:151583409:+	1	151583360	151583409	+	NA	chr1	chr1	151512781	151540305	151556059	151583583	1q21	1q21	iC10
ILMN_1714401	SNX27	ENSG00000143376	1q21.3a	chr1:149937900:149937949:+	1	149937900	149937949	MGC126873; MGC20471; MGC126871; MY014; KIAA0488	YES	chr1:151671276:151671325:+	1	151671276	151671325	1:151698800:151698849:+	1	151698800	151698849	+	NA	chr1	chr1	151584482	151612006	151671567	151699091	1q21	1q21	iC10
ILMN_1773716	MRPL9	ENSG00000143436	1q21.3a	chr1:149999091:149999140:-	1	149999091	149999140	L9mt	YES	chr1:151732467:151732516:-	1	151732467	151732516	1:151759991:151760040:-	1	151759991	151760040	-	NA	chr1	chr1	151732119	151759643	151736040	151763564	1q21	1q21	iC10
ILMN_1736234	CHTOP	ENSG00000160679	1q21.3d	chr1:151884337:151884386:+	1	151884337	151884386	MGC86949; RP1-178F15.2; MGC131924; pp7704; C11orf77; DKFZP547E1010 ;CHTOP	YES	chr1:153617713:153617762:+	1	153617713	153617762	1:153645237:153645286:+	1	153645237	153645286	+	NA	chr1	chr1	153606458	153633982	153618782	153646306	1q21	1q21	iC10
ILMN_1756086	INTS3	ENSG00000143624	1q21.3d	chr1:152012871:152012920:+	1	152012871	152012920	FLJ44849; FLJ21919; C1orf60; DKFZp781I1253; DKFZp686O20115; RP11-216N14.2; C1orf193; INT3; DKFZp686E1950	YES	chr1:153746247:153746296:+	1	153746247	153746296	1:153773771:153773820:+	1	153773771	153773820	+	NA	chr1	chr1	153700543	153728067	153747284	153774808	1q21	1q21	iC10
ILMN_1766359	GATAD2B	ENSG00000143614	1q21.3d	chr1:152046192:152046241:-	1	152046192	152046241	MGC138285; P66beta; RP11-216N14.6; KIAA1150; FLJ37346; MGC138257	YES	chr1:153779568:153779617:-	1	153779568	153779617	1:153807092:153807141:-	1	153807092	153807141	-	NA	chr1	chr1	153761506	153789030	153895836	153923360	1q21	1q21	iC10
ILMN_2206716	JTB	ENSG00000143543	1q21.3d	chr1:152213853:152213902:-	1	152213853	152213902	B PAR; PAR; HJTB; hJT; HSPC222	YES	chr1:153947229:153947278:-	1	153947229	153947278	1:153974753:153974802:-	1	153974753	153974802	-	NA	chr1	chr1	153946745	153974269	153950164	153977688	1q21	1q21	iC10
ILMN_1729509	C1orf43	ENSG00000143612	1q21.3d	chr1:152446055:152446104:-	1	152446055	152446104	NS5ATP4; HSPC012; DKFZp586G1722; S863-3; MGC111001; NICE-3	YES	chr1:154179431:154179480:-	1	154179431	154179480	1:154206955:154207004:-	1	154206955	154207004	-	NA	chr1	chr1	154179172	154206696	154193113	154220637	1q21	1q21	iC10
ILMN_1750658	HAX1	ENSG00000143575	1q21.3d	chr1:152514515:152514564:+	1	152514515	152514564	HCLSBP1; SCN3; HS1BP1	YES	chr1:154247891:154247940:+	1	154247891	154247940	1:154275415:154275464:+	1	154275415	154275464	+	NA	chr1	chr1	154244987	154272511	154248351	154275875	1q21	1q21	iC10
ILMN_1776777	ADAR	ENSG00000160710	1q21.3e	chr1:152821281:152821330:-	1	152821281	152821330	DRADA; K88dsRBP; ADAR1; IFI4; G1P1; DSRAD; IFI-4; p136; DSH	YES	chr1:154554657:154554706:-	1	154554657	154554706	1:154582181:154582230:-	1	154582181	154582230	-	NA	chr1	chr1	154554533	154582057	154600489	154628013	1q21	1q21	iC10
ILMN_2320964	ADAR	ENSG00000160710	1q21.3e	chr1:152821776:152821825:-	1	152821776	152821825	NA	NO	chr1:154555152:154555201:-	1	154555152	154555201	1:154582676:154582725:-	1	154582676	154582725	-	NA	chr1	chr1	154554533	154582057	154600489	154628013	1q21	1q21	iC10
ILMN_1715896	PMVK	ENSG00000163344	1q21.3e	chr1:153164061:153164110:-	1	153164061	153164110	PMKASE; HUMPMKI; PMK; PMKA	YES	chr1:154897437:154897486:-	1	154897437	154897486	1:154924961:154925010:-	1	154924961	154925010	-	NA	chr1	chr1	154897210	154924734	154909467	154936991	1q21	1q21	iC10
ILMN_2371055	EFNA1	ENSG00000169242	1q22a	chr1:153373839:153373888:+	1	153373839	153373888	EPLG1; EFL1; ECKLG; B61; TNFAIP4; LERK1	YES	chr1:155107215:155107264:+	1	155107215	155107264	1:155134739:155134788:+	1	155134739	155134788	+	NA	chr1	chr1	155099936	155127460	155107333	155134857	1q22	1q22	iC10
ILMN_1658802	KRTCAP2	ENSG00000163463	1q22a	chr1:153408550:153408599:-	1	153408550	153408599	KCP2	YES	chr1:155141926:155141975:-	1	155141926	155141975	1:155169450:155169499:-	1	155169450	155169499	-	NA	chr1	chr1	155141884	155169408	155145951	155173475	1q22	1q22	iC10
ILMN_1667222	MTX1	ENSG00000173171	1q22a	chr1:153450068:153450117:+	1	153450068	153450117	MTXN; MTX	YES	chr1:155183444:155183493:+	1	155183444	155183493	1:155213653:155213702:+	1	155213653	155213702	+	NA	chr1	chr1	155178490	155208699	155183615	155213824	1q22	1q22	iC10
ILMN_1793712	SCAMP3	ENSG00000116521	1q22a	chr1:153492475:153492524:-	1	153492475	153492524	C1orf3	YES	chr1:155225851:155225900:-	1	155225851	155225900	1:155256060:155256109:-	1	155256060	155256109	-	NA	chr1	chr1	155225770	155255979	155232221	155262430	1q22	1q22	iC10
ILMN_2399208	SCAMP3	ENSG00000116521	1q22a	chr1:153492701:153492750:-	1	153492701	153492750	NA	NO	chr1:155226077:155226126:-	1	155226077	155226126	1:155256286:155256335:-	1	155256286	155256335	-	NA	chr1	chr1	155225770	155255979	155232221	155262430	1q22	1q22	iC10
ILMN_2362911	CLK2	ENSG00000176444	1q22a	chr1:153499380:153499429:-	1	153499380	153499429	hCLK2; MGC61500	YES	chr1:155232756:155232805:-	1	155232756	155232805	1:155262965:155263014:-	1	155262965	155263014	-	NA	chr1	chr1	155232659	155262868	155248282	155278491	1q22	1q22	iC10
ILMN_1787109	CLK2	ENSG00000176444	1q22a	chr1:153499600:153499649:-	1	153499600	153499649	NA	NO	chr1:155232976:155233025:-	1	155232976	155233025	1:155263185:155263234:-	1	155263185	155263234	-	NA	chr1	chr1	155232659	155262868	155248282	155278491	1q22	1q22	iC10
ILMN_1781680	DAP3	ENSG00000132676	1q22b	chr1:153974591:153974640:+	1	153974591	153974640	MGC126059; MGC126058; bMRP-10; MRP-S29; DKFZp686G12159; DAP-3; MRPS29	YES	chr1:155707967:155708016:+	1	155707967	155708016	1:155738176:155738225:+	1	155738176	155738225	+	NA	chr1	chr1	155657751	155687960	155708801	155739010	1q22	1q22	iC10
ILMN_1789349	UBQLN4	ENSG00000160803	1q22c	chr1:154271771:154271820:-	1	154271771	154271820	A1U; CIP75; UBIN; C1orf6	YES	chr1:156005147:156005196:-	1	156005147	156005196	1:156035356:156035405:-	1	156035356	156035405	-	NA	chr1	chr1	156005092	156035301	156023585	156053794	1q22	1q22	iC10
ILMN_1756352	DQ896212	ENSG00000116586	1q22c	chr1:154291767:154291816:+	1	154291767	154291816	p14; HSPC003; RP11-336K24.9 ;LAMTOR2	YES	chr1:156025143:156025192:+	1	156025143	156025192	1:156055352:156055401:+	1	156055352	156055401	+	LAMTOR2	chr1	chr1	156024543	156054752	156028301	156058510	1q22	1q22	iC10
ILMN_1791826	RAB25	ENSG00000132698	1q22c	chr1:154306744:154306793:+	1	154306744	154306793	CATX-8	YES	chr1:156040120:156040169:+	1	156040120	156040169	1:156070329:156070378:+	1	156070329	156070378	+	NA	chr1	chr1	156030951	156061160	156040305	156070514	1q22	1q22	iC10
ILMN_1810514	SLC25A44	ENSG00000160785	1q22d	chr1:154449037:154449086:+	1	154449037	154449086	RP11-54H19.3; FLJ90431; KIAA0446	YES	chr1:156182413:156182462:+	1	156182413	156182462	1:156212622:156212671:+	1	156212622	156212671	+	NA	chr1	chr1	156163723	156193932	156182587	156212796	1q22	1q22	iC10
ILMN_1756445	PMF1	ENSG00000160783	1q22d	chr1:154476089:154476138:+	1	154476089	154476138		YES	chr1:156209465:156209514:+	1	156209465	156209514	1:156239674:156239723:+	1	156239674	156239723	+	NA	chr1	chr1	156182784	156212993	156209833	156240042	1q22	1q22	iC10
ILMN_1706413	C1orf66	ENSG00000143303	1q23.1a	chr1:154972270:154972319:+	1	154972270	154972319	CGI-41 ;RRNAD1	YES	chr1:156705646:156705695:+	1	156705646	156705695	1:156735854:156735903:+	1	156735854	156735903	+	RRNAD1	chr1	chr1	156698234	156728442	156706752	156736960	1q23	1q23	iC10
ILMN_1809818	PRCC	ENSG00000143294	1q23.1a	chr1:155028114:155028163:+	1	155028114	155028163	NA	NO	chr1:156761490:156761539:+	1	156761490	156761539	1:156791698:156791747:+	1	156791698	156791747	+	NA	chr1	chr1	156720402	156750610	156770609	156800817	1q23	1q23	iC10
ILMN_1802843	PRCC	ENSG00000143294	1q23.1a	chr1:155036967:155037016:+	1	155036967	155037016	MGC17178; MGC4723; TPRC; RCCP1	YES	chr1:156770343:156770392:+	1	156770343	156770392	1:156800551:156800600:+	1	156800551	156800600	+	NA	chr1	chr1	156720402	156750610	156770609	156800817	1q23	1q23	iC10
ILMN_1659462	DUSP23	ENSG00000158716	1q23.2b	chr1:158018844:158018893:+	1	158018844	158018893	MOSP; FLJ20442; RP11-190A12.1; DUSP25; VHZ; LDP-3	YES	chr1:159752220:159752269:+	1	159752220	159752269	1:159782430:159782479:+	1	159782430	159782479	+	NA	chr1	chr1	159750722	159780932	159752333	159782543	1q23	1q23	iC10
ILMN_1693941	IGSF9	ENSG00000085552	1q23.2c	chr1:158163601:158163650:-	1	158163601	158163650	KIAA1355; FP18798; Nrt1; IGSF9A	YES	chr1:159896977:159897026:-	1	159896977	159897026	1:159927187:159927236:-	1	159927187	159927236	-	NA	chr1	chr1	159896829	159927039	159915394	159945604	1q23	1q23	iC10
ILMN_1799860	PIGM	ENSG00000143315	1q23.2c	chr1:158266658:158266707:-	1	158266658	158266707	MGC29896	YES	chr1:160000034:160000083:-	1	160000034	160000083	1:160030244:160030293:-	1	160030244	160030293	-	NA	chr1	chr1	159994743	160024953	160001781	160031991	1q23	1q23	iC10
ILMN_1811615	COPA	ENSG00000122218	1q23.2d	chr1:158525908:158525957:-	1	158525908	158525957	FLJ26320; HEP-COP	YES	chr1:160259284:160259333:-	1	160259284	160259333	1:160289494:160289543:-	1	160289494	160289543	-	NA	chr1	chr1	160258476	160288686	160313190	160343400	1q23	1q23	iC10
ILMN_1735180	NCSTN	ENSG00000162736	1q23.2d	chr1:158595149:158595198:+	1	158595149	158595198	KIAA0253; APH2; RP11-517F10.1	YES	chr1:160328525:160328574:+	1	160328525	160328574	1:160358735:160358784:+	1	160358735	160358784	+	NA	chr1	chr1	160313062	160343272	160328742	160358952	1q23	1q23	iC10
ILMN_2313074	DEDD	ENSG00000158796	1q23.3a	chr1:159357877:159357926:-	1	159357877	159357926	KE05; CASP8IP1; FLDED1; DEDD1; DEFT	YES	chr1:161091253:161091302:-	1	161091253	161091302	1:161121463:161121512:-	1	161121463	161121512	-	NA	chr1	chr1	161090764	161120974	161102478	161132688	1q23	1q23	iC10
ILMN_2110281	UFC1	ENSG00000143222	1q23.3a	chr1:159394967:159395016:+	1	159394967	159395016	HSPC155	YES	chr1:161128343:161128392:+	1	161128343	161128392	1:161158553:161158602:+	1	161158553	161158602	+	NA	chr1	chr1	161122566	161152776	161128646	161158856	1q23	1q23	iC10
ILMN_2349006	USP21	ENSG00000143258	1q23.3a	chr1:159400651:159400664:+,chr1:159400948:159400983:+	1	159400651	159400664	NA	NO	chr1:161134027:161134040:+	1	161134027	161134040	1:161164237:161164250:+	1	161164237	161164250	+	NA	chr1	chr1	161129240	161159450	161135513	161165723	1q23	1q23	iC10
ILMN_1780887	USP21	ENSG00000143258	1q23.3a	chr1:159401794:159401843:+	1	159401794	159401843	MGC3394; USP16; USP23	YES	chr1:161135170:161135219:+	1	161135170	161135219	1:161165380:161165429:+	1	161165380	161165429	+	NA	chr1	chr1	161129240	161159450	161135513	161165723	1q23	1q23	iC10
ILMN_1673798	PPOX	ENSG00000143224	1q23.3a	chr1:159407452:159407501:+	1	159407452	159407501	MGC8485; VP; PPO; V290M	YES	chr1:161140828:161140877:+	1	161140828	161140877	1:161171038:161171087:+	1	161171038	161171087	+	NA	chr1	chr1	161136200	161166410	161147803	161178013	1q23	1q23	iC10
ILMN_1692267	B4GALT3	ENSG00000158850	1q23.3a	chr1:159407806:159407855:-	1	159407806	159407855	beta4Gal-T3	YES	chr1:161141182:161141231:-	1	161141182	161141231	1:161171392:161171441:-	1	161171392	161171441	-	NA	chr1	chr1	161141100	161171310	161147758	161177968	1q23	1q23	iC10
ILMN_1767892	DUSP12	ENSG00000081721	1q23.3b	chr1:159993226:159993275:+	1	159993226	159993275	YVH1; DUSP1	YES	chr1:161726602:161726651:+	1	161726602	161726651	1:161756812:161756861:+	1	161756812	161756861	+	NA	chr1	chr1	161719548	161749758	161727028	161757238	1q23	1q23	iC10
ILMN_1703471	ATF6	ENSG00000118217	1q23.3b	chr1:160195281:160195330:+	1	160195281	160195330		YES	chr1:161928657:161928706:+	1	161928657	161928706	1:161958867:161958916:+	1	161958867	161958916	+	NA	chr1	chr1	161736084	161766294	161933860	161964070	1q23	1q23	iC10
ILMN_1761804	ALDH9A1	ENSG00000143149	1q24.1a	chr1:163898146:163898195:-	1	163898146	163898195	TMABADH; ALDH9; ALDH7; ALDH4; E3	YES	chr1:165631522:165631571:-	1	165631522	165631571	1:165662285:165662334:-	1	165662285	165662334	-	NA	chr1	chr1	165631453	165662216	165668100	165698863	1q24	1q24	iC10
ILMN_1793829	TMCO1	ENSG00000143183	1q24.1a	chr1:163963531:163963580:-	1	163963531	163963580	HP10122; TMCC4; RP11-466F5.7; PCIA3; PNAS-136	YES	chr1:165696907:165696956:-	1	165696907	165696956	1:165727670:165727719:-	1	165727670	165727719	-	NA	chr1	chr1	165693530	165724293	165796992	165827755	1q24	1q24	iC10
ILMN_1756669	POGK	ENSG00000143157	1q24.1c	chr1:165090132:165090181:+	1	165090132	165090181	LST003; KIAA15131; KIAA1513; BASS2	YES	chr1:166823508:166823557:+	1	166823508	166823557	1:166854271:166854320:+	1	166854271	166854320	+	NA	chr1	chr1	166808684	166839447	166825581	166856344	1q24	1q24	iC10
ILMN_2194649	TADA1L	ENSG00000152382	1q24.1c	chr1:165092602:165092651:-	1	165092602	165092651	RP1-9E21.4; KIAA0764; STAF42 ;TADA1	YES	chr1:166825978:166826027:-	1	166825978	166826027	1:166856741:166856790:-	1	166856741	166856790	-	TADA1	chr1	chr1	166825747	166856510	166845564	166876327	1q24	1q24	iC10
ILMN_1776487	TADA1L	ENSG00000152382	1q24.1c	chr1:165092897:165092946:-	1	165092897	165092946	NA ;TADA1	NO	chr1:166826273:166826322:-	1	166826273	166826322	1:166857036:166857085:-	1	166857036	166857085	-	TADA1	chr1	chr1	166825747	166856510	166845564	166876327	1q24	1q24	iC10
ILMN_1670000	IQWD1	ENSG00000143164	1q24.2a	chr1:166304311:166304325:+,chr1:166311233:166311267:+	1	166304311	166304325	RP4-745I14.1; ARCAP; PC326; MSTP055; 1200006M05Rik; NRIP ;DCAF6	YES	chr1:168037687:168037701:+	1	168037687	168037701	1:168068449:168068463:+	1	168068449	168068463	+	DCAF6	chr1	chr1	167905021	167935783	168045081	168075843	1q24	1q24	iC10
ILMN_1743427	SCYL3	ENSG00000000457	1q24.2c	chr1:168088915:168088964:-	1	168088915	168088964	PACE1; RP1-97P20.2; PACE-1	YES	chr1:169822291:169822340:-	1	169822291	169822340	1:169853150:169853199:-	1	169853150	169853199	-	NA	chr1	chr1	169818772	169849631	169863408	169894267	1q24	1q24	iC10
ILMN_1651949	SCYL3	ENSG00000000457	1q24.2c	chr1:168089279:168089328:-	1	168089279	168089328	NA	NO	chr1:169822655:169822704:-	1	169822655	169822704	1:169853514:169853563:-	1	169853514	169853563	-	NA	chr1	chr1	169818772	169849631	169863408	169894267	1q24	1q24	iC10
ILMN_1761911	GORAB	ENSG00000120370	1q24.2c	chr1:168788407:168788456:+	1	168788407	168788456	NTKL-BP1; MGC70512; MGC51263; NTKLBP1; RP11-545I10.1; FLJ11752	YES	chr1:170521783:170521832:+	1	170521783	170521832	1:170552642:170552691:+	1	170552642	170552691	+	NA	chr1	chr1	170501270	170532129	170522587	170553446	1q24	1q24	iC10
ILMN_2343624	METTL13	ENSG00000010165	1q24.3b	chr1:170032628:170032677:+	1	170032628	170032677	FLJ10310; CGI-01; 5630401D24Rik	YES	chr1:171766005:171766054:+	1	171766005	171766054	1:171796865:171796914:+	1	171796865	171796914	+	NA	chr1	chr1	171750804	171781664	171783163	171814023	1q24	1q24	iC10
ILMN_1790575	METTL13	ENSG00000010165	1q24.3b	chr1:170033135:170033184:+	1	170033135	170033184	NA	NO	chr1:171766512:171766561:+	1	171766512	171766561	1:171797372:171797421:+	1	171797372	171797421	+	NA	chr1	chr1	171750804	171781664	171783163	171814023	1q24	1q24	iC10
ILMN_1723632	PIGC	ENSG00000135845	1q24.3d	chr1:170677592:170677641:-	1	170677592	170677641	GPI2; MGC2049	YES	chr1:172410969:172411018:-	1	172410969	172411018	1:172441829:172441878:-	1	172441829	172441878	-	NA	chr1	chr1	172339329	172370189	172413226	172444086	1q24	1q24	iC10
ILMN_2397571	PIGC	ENSG00000135845	1q24.3d	chr1:170677732:170677781:-	1	170677732	170677781	NA	NO	chr1:172411109:172411158:-	1	172411109	172411158	1:172441969:172442018:-	1	172441969	172442018	-	NA	chr1	chr1	172339329	172370189	172413226	172444086	1q24	1q24	iC10
ILMN_1779423	MRPS14	ENSG00000120333	1q25.1b	chr1:173249994:173250043:-	1	173249994	173250043	DJ262D12.2; MRP-S14; HSMRPS14	YES	chr1:174983371:174983420:-	1	174983371	174983420	1:175014235:175014284:-	1	175014235	175014284	-	NA	chr1	chr1	174979925	175010789	174992561	175023425	1q25	1q25	iC10
