genes	ic	Cytoband_hg19	Cytoband_hg38
NUP85	ic1	17q25	17q25
EIF4EBP1	ic6	8p11	8p11
CREBBP	NA	16p13	16p13
HIST2H2BE	NA	1q21	1q21
PRR14	NA	16p11	16p11
WDYHV1	ic9	8q24	8q24
OGFOD1	NA	16q12	16q13
RAB4A	NA	1q42	1q42
SPOP	NA	17q21	17q21
TRIM11	NA	1q42	1q42
IKBKB	ic6	8p11	8p11
MRPS7	ic1	17q25	17q25
RARA	NA	17q21	17q21
SUPT4H1	NA	17q22	17q22
KATNB1	NA	16q21	16q21
DNTTIP1	NA	20q13	20q13
COQ9	NA	16q21	16q21
MED24	NA	17q21	17q21
ABAT	NA	16p13	16p13
TPD52	NA	8q21	8q21
LYRM1	NA	16p12	16p12
SRP68	ic1	17q25	17q25
RSAD1	NA	17q21	17q21
EFR3A	ic9	8q24	8q24
RAB40C	NA	16p13	16p13
PRPSAP1	ic1	17q25	17q25
HGS	ic1	17q25	17q25
STAU1	NA	20q13	20q13
CD46	NA	1q32	1q32
IARS2	NA	1q41	1q41
PI4KB	NA	1q21	1q21
ELP3	NA	8p21	8p21
VPS72	NA	1q21	1q21
COG1	ic1	17q25	17q25
NARS2	ic2	11q14	11q14
DQ896642	NA	22q13	22q13
FBXO31	NA	16q24	16q24
NSMCE2	ic9	8q24	8q24
ZNF703	ic6	8p11	8p11
ANKRD11	NA	16q24	16q24
SHARPIN	ic9	8q24	8q24
CLUAP1	NA	16p13	16p13
WDR68	ic1	17q23	17q23
BXDC1	NA	6q21	6q21
POGZ	NA	1q21	1q21
EDC4	NA	16q22	16q22
NTHL1	NA	16p13	16p13
ADIPOR1	NA	1q32	1q32
STX6	NA	1q25	1q25
IQCK	NA	16p12	16p12
C13orf23	NA	13q13	13q13
EPRS	NA	1q41	1q41
NOL11	ic1	17q24	17q24
PRCC	NA	1q23	1q23
CCDC45	ic1	17q23	17q23
EPN3	NA	17q21	17q21
FLOT2	NA	17q11	17q11
RNF40	NA	16p11	16p11
BC007367	NA	17q12	17q12
COG2	NA	1q42	1q42
GPS1	ic1	17q25	17q25
UBE2O	ic1	17q25	17q25
KATNA1	NA	6q25	6q25
MRPL9	NA	1q21	1q21
IPO9	NA	1q32	1q32
CHTOP	NA	1q21	1q21
PTDSS1	NA	8q22	8q22
C20orf20	NA	20q13	20q13
ZNF688	NA	16p11	16p11
NUBP2	NA	16p13	16p13
GRB7	NA	17q12	17q12
RAD51C	NA	17q22	17q22
PMF1	NA	1q22	1q22
PPIH	NA	1p34	1p34
NCSTN	NA	1q23	1q23
NME1	NA	17q21	17q21
PDSS1	NA	10p12	10p12
CYHR1	ic9	8q24	8q24
RAB2A	NA	8q12	8q12
TMEM123	NA	11q22	11q22
ALDH9A1	NA	1q24	1q24
MYST1	NA	16p11	16p11
SCAMP3	NA	1q22	1q22
TMCO1	NA	1q24	1q24
NUDT5	NA	10p13	10p14
C1orf25	NA	1q25	1q25
C8orf40	ic6	8p11	8p11
ZC3HC1	NA	7q32	7q32
ZNF707	ic9	8q24	8q24
COPS3	NA	17p11	17p11
ZBTB41	NA	1q31	1q31
NPLOC4	ic1	17q25	17q25
CHMP1A	NA	16q24	16q24
DPM1	NA	20q13	20q13
GLI4	ic9	8q24	8q24
MRPL27	NA	17q21	17q21
NUF2	NA	1q23	1q23
ADSS	NA	1q44	1q44
CROP	NA	17q21	17q21
PIP4K2B	NA	17q12	17q12
ATP6V1C1	NA	8q22	8q22
CLP1	ic2	11q12	11q12
GALK1	ic1	17q25	17q25
VDAC3	ic6	8p11	8p11
GNPAT	NA	1q42	1q42
FBXO28	NA	1q42	1q42
THOC6	NA	16p13	16p13
NKX3-1	NA	8p21	8p21
CCT2	NA	12q15	12q15
KDM5B	NA	1q32	1q32
NUP107	NA	12q15	12q15
ANAPC11	ic1	17q25	17q25
AARSD1	NA	17q21	17q21
GDE1	NA	16p12	16p12
DQ893774	ic1	17q23	17q23
TROVE2	NA	1q31	1q31
ARF1	NA	1q42	1q42
PHF20L1	ic9	8q24	8q24
WDR26	NA	1q42	1q42
TUFM	NA	16p11	16p11
DERL1	ic9	8q24	8q24
FNTA	ic6	8p11	8p11
POLDIP2	NA	17q11	17q11
NAE1	NA	16q22	16q22
DQ896212	NA	1q22	1q22
TUFT1	NA	1q21	1q21
NOP2	NA	12p13	12p13
FAM84B	ic9	8q24	8q24
KCTD21	ic2	11q14	11q14
PANX1	NA	11q21	11q21
AXIN1	NA	16p13	16p13
TOP1MT	ic9	8q24	8q24
DAP3	NA	1q22	1q22
ZNF213	NA	16p13	16p13
TCEA1	NA	8q11	8q11
CD79B	ic1	17q23	17q23
ALG8	ic2	11q14	11q14
LSM1	ic6	8p11	8p11
MTMR9	NA	8p23	8p23
TRIM37	NA	17q22	17q22
ARL2BP	NA	16q13	16q13
MRPL55	NA	1q42	1q42
KIAA1688	ic9	8q24	8q24
CCND1	ic2	11q13	11q13
FGFR1	ic6	8p11	8p11
VPS28	ic9	8q24	8q24
TRAF4	NA	17q11	17q11
COPA	NA	1q23	1q23
TMEM9	NA	1q32	1q32
PTRH2	ic1	17q23	17q23
C20orf111	NA	20q13	20q13
MTX1	NA	1q22	1q22
YWHAZ	NA	8q22	8q22
ANGEL2	NA	1q32	1q32
ARMC1	NA	8q13	8q13
SF3B5	NA	6q24	6q24
MAPK3	NA	16p11	16p11
XYLT2	NA	17q21	17q21
COX4I1	NA	16q24	16q24
SPAG9	NA	17q21	17q21
PPP1R16A	ic9	8q24	8q24
ATP6V1H	NA	8q11	8q11
AZI1	ic1	17q25	17q25
LLGL2	ic1	17q25	17q25
ZNF174	NA	16p13	16p13
NDUFA9	NA	12p13	12p13
THAP1	ic6	8p11	8p11
TADA1L	NA	1q24	1q24
KIAA0100	NA	17q11	17q11
PAAF1	ic2	11q13	11q13
RPL19	NA	17q12	17q12
CLK2	NA	1q22	1q22
USP6NL	NA	10p14	10p14
WDR45L	ic1	17q25	17q25
SCRIB	ic9	8q24	8q24
NUP153	NA	6p22	6p22
DYNLL2	NA	17q22	17q22
STAU2	NA	8q21	8q21
MRPL15	NA	8q11	8q11
RNFT1	ic1	17q23	17q23
RPK118	NA	1q32	1q32
CP110	NA	16p12	16p12
RAD54B	NA	8q22	8q22
PTK2	ic9	8q24	8q24
DEDD	NA	1q23	1q23
GLG1	NA	16q23	16q23
TFDP1	NA	13q34	13q34
TLK2	ic1	17q23	17q23
MFSD3	ic9	8q24	8q24
GGA3	ic1	17q25	17q25
INPPL1	ic2	11q13	11q13
LCMT1	NA	16p12	16p12
EXOSC4	ic9	8q24	8q24
DEF8	NA	16q24	16q24
NUP205	NA	7q33	7q33
FAM20B	NA	1q25	1q25
CSPP1	NA	8q13	8q13
RIT1	NA	1q22	1q22
AZIN1	NA	8q22	8q22
C8orf59	NA	8q21	8q21
TRMT11	NA	6q22	6q22
MCM10	NA	10p13	10p13
DHX38	NA	16q22	16q22
FLYWCH2	NA	16p13	16p13
DQ895396	NA	6q22	6q22
FAM83H	ic9	8q24	8q24
PPFIA1	ic2	11q13	11q13
THRA	NA	17q21	17q21
TMEM70	NA	8q21	8q21
RPP38	NA	10p13	10p13
JMJD8	NA	16p13	16p13
AHCTF1	NA	1q44	1q44
EBAG9	ic9	8q23	8q23
WDR67	ic9	8q24	8q24
ACER3	ic2	11q13	11q13
AMZ2	ic1	17q24	17q24
KCTD3	NA	1q41	1q41
DSTYK	NA	1q32	1q32
RAB11FIP1	ic6	8p11	8p11
CEP350	NA	1q25	1q25
BEND3	NA	6q21	6q21
RNPS1	NA	16p13	16p13
SPCS2	ic2	11q13	11q13
SRSF2	ic1	17q25	17q25
C1orf131	NA	1q42	1q42
PIGM	NA	1q23	1q23
ASH2L	ic6	8p11	8p11
MED13	ic1	17q23	17q23
KIAA1863	ic1	17q25	17q25
BCL9	NA	1q21	1q21
PEX11B	NA	1q21	1q21
CD2BP2	NA	16p11	16p11
TFB2M	NA	1q44	1q44
TOM1L1	NA	17q22	17q22
SEPHS1	NA	10p13	10p13
UBE2Z	NA	17q21	17q21
C17orf95	ic1	17q25	17q25
TM2D2	ic6	8p11	8p11
TMEM126A	ic2	11q14	11q14
STX16	NA	20q13	20q13
WBP2	ic1	17q25	17q25
RPS6KB1	ic1	17q23	17q23
CTTN	ic2	11q13	11q13
UBR5	NA	8q22	8q22
AXIN2	ic1	17q24	17q24
UQCRB	NA	8q22	8q22
ACBD6	NA	1q25	1q25
DUSP12	NA	1q23	1q23
RBBP6	NA	16p12	16p12
TLCD1	NA	17q11	17q11
BOP1	ic9	8q24	8q24
EXOC7	ic1	17q25	17q25
GOLPH3L	NA	1q21	1q21
AARS	NA	16q22	16q22
PSMC2	NA	7q22	7q22
CPSF1	ic9	8q24	8q24
C8orf38	NA	8q22	8q22
LYSMD1	NA	1q21	1q21
ZNF706	NA	8q22	8q22
SNX3	NA	6q21	6q21
IMPAD1	NA	8q12	8q12
PIGS	NA	17q11	17q11
SH3BP5L	NA	1q44	1q44
DEXI	NA	16p13	16p13
RPRD2	NA	1q21	1q21
MAL2	ic9	8q24	8q24
COG7	NA	16p12	16p12
NUS1	NA	6q22	6q22
HAGH	NA	16p13	16p13
TOR1AIP1	NA	1q25	1q25
PCGF2	NA	17q12	17q12
PHKG2	NA	16p11	16p11
HSPA14	NA	10p13	10p13
CDC6	NA	17q21	17q21
AP3M2	ic6	8p11	8p11
CSNK2A2	NA	16q21	16q21
PPME1	ic2	11q13	11q13
EIF1	NA	17q21	17q21
RHOT2	NA	16p13	16p13
CLTC	ic1	17q23	17q23
UVRAG	ic2	11q13	11q13
SQLE	ic9	8q24	8q24
C17orf90	ic1	17q25	17q25
SLC35B1	NA	17q21	17q21
LYPLAL1	NA	1q41	1q41
TBCE	NA	1q42	1q42
CSE1L	NA	20q13	20q13
ADRM1	NA	20q13	20q13
ATF6	NA	1q23	1q23
PGAP3	NA	17q12	17q12
FAM82B	NA	8q21	8q21
RAB25	NA	1q22	1q22
ESRP1	NA	8q22	8q22
FBXL20	NA	17q12	17q12
DQ894129	NA	13q12	13q12
MRPL12	ic1	17q25	17q25
ZNF250	ic9	8q24	8q24
MTDH	NA	8q22	8q22
POLD3	ic2	11q13	11q13
SSBP1	NA	7q34	7q34
RAD9A	ic2	11q13	11q13
TP53I13	NA	17q11	17q11
MRPL13	ic9	8q24	8q24
ACBD3	NA	1q42	1q42
C16orf87	NA	16q11	16q11
FBXO18	NA	10p15	10p15
ACTL6A	NA	3q26	3q26
BAG4	ic6	8p11	8p11
ZNF319	NA	16q21	16q21
CASC3	NA	17q21	17q21
DCI	NA	16p13	16p13
DUSP4	ic6	8p12	8p12
CCNE1	NA	19q12	19q12
UFC1	NA	1q23	1q23
APPBP2	ic1	17q23	17q23
FAM91A1	ic9	8q24	8q24
ATAD2	ic9	8q24	8q24
C17orf71	NA	17q22	17q22
PSMD4	NA	1q21	1q21
KCTD9	NA	8p21	8p21
MAF1	ic9	8q24	8q24
CDC123	NA	10p13	10p14-10p13
TMEM126B	ic2	11q14	11q14
MTMR4	NA	17q22	17q22
POLR3C	NA	1q21	1q21
MIEN1	NA	17q12	17q12
SMARCE1	NA	17q21	17q21
STRADA	ic1	17q23	17q23
PRPF3	NA	1q21	1q21
SDF2	NA	17q11	17q11
CCS	ic2	11q13	11q13
TRAPPC9	ic9	8q24	8q24
PIGC	NA	1q24	1q24
SNF8	NA	17q21	17q21
CALCOCO2	NA	17q21	17q21
TTC35	ic9	8q23	8q23
MRPS14	NA	1q25	1q25
DQ894708	ic9	8q24	8q24
DDX42	ic1	17q23	17q23
ERLIN2	ic6	8p11	8p11
ZNF263	NA	16p13	16p13
C8orf76	ic9	8q24	8q24
DDX19B	NA	16q22	16q22
USP32	ic1	17q23	17q23
C16orf63	NA	16p13	16p13
ASCC3	NA	6q16	6q16
UTP23	ic9	8q24	8q24
BFAR	NA	16p13	16p13
MTL5	ic2	11q13	11q13
IFT20	NA	17q11	17q11
TH1L	NA	20q13	20q13
CIAPIN1	NA	16q21	16q21
MTPAP	NA	10p11	10p11
C1orf57	NA	1q42	1q42
RSF1	ic2	11q14	11q14
NADSYN1	ic2	11q13	11q13
CCDC47	ic1	17q23	17q23
OTUD6B	NA	8q21	8q21
ARFGEF1	NA	8q13	8q13
KRTCAP2	NA	1q22	1q22
PDCD2	NA	6q27	6q27
MYST3	ic6	8p11	8p11
R3HCC1	NA	8p21	8p21
DPY19L4	NA	8q22	8q22
ZNF7	ic9	8q24	8q24
TARS2	NA	1q21	1q21
VPS45	NA	1q21	1q21
FAM173A	NA	16p13	16p13
GORAB	NA	1q24	1q24
MED1	NA	17q12	17q12
CCDC25	NA	8p21	8p21
RECQL4	ic9	8q24	8q24
CNOT1	NA	16q21	16q21
GPAA1	ic9	8q24	8q24
MTBP	ic9	8q24	8q24
DCUN1D5	NA	11q22	11q22
SIAH1	NA	16q12	16q12
DYNC1LI2	NA	16q22	16q22
SMARCD2	ic1	17q23	17q23
CHCHD8	ic2	11q13	11q13
TSEN15	NA	1q25	1q25
MDM2	NA	12q15	12q15
COQ7	NA	16p12	16p12
MRPL45	NA	17q12	17q12
RBBP5	NA	1q32	1q32
PCSK7	NA	11q23	11q23
RAD21	ic9	8q24	8q24
Sep-09	ic1	17q25	17q25
PSMB4	NA	1q21	1q21
MTFR1	NA	8q13	8q13
POGK	NA	1q24	1q24
ORMDL3	NA	17q12	17q21
POLR3K	NA	16p13	16p13
CPNE3	NA	8q21	8q21
MED8	NA	1p34	1p34
TSEN54	ic1	17q25	17q25
ADAM9	ic6	8p11	8p11
HELZ	ic1	17q24	17q24
ROGDI	NA	16p13	16p13
NUP93	NA	16q13	16q13
PITRM1	NA	10p15	10p15
PGS1	ic1	17q25	17q25
SSH3	ic2	11q13	11q13
TBCD	ic1	17q25	17q25
PSMD3	NA	17q21	17q21
DDR2	NA	1q23	1q23
CYB561	ic1	17q23	17q23
ZNF500	NA	16p13	16p13
RPL30	NA	8q22	8q22
SNX27	NA	1q21	1q21
ZNF34	ic9	8q24	8q24
LASS2	NA	1q21	1q21
METTL13	NA	1q24	1q24
B4GALT3	NA	1q23	1q23
YTHDF1	NA	20q13	20q13
DUSP23	NA	1q23	1q23
EFNA1	NA	1q22	1q22
RRP15	NA	1q41	1q41
ST3GAL1	ic9	8q24	8q24
KIAA0556	NA	16p12	16p12
PYCR2	NA	1q42	1q42
MYC	ic9	8q24	8q24
PRKDC	NA	8q11	8q11
CHORDC1	ic2	11q14	11q14
SNAP47	NA	1q42	1q42
PHKB	NA	16q12	16q12
SCYL3	NA	1q24	1q24
